Date,Invoice_ID,Branch,City,Customer_Type,Gender,Product_Line,Unit_Price,Quantity,Tax,Total,Time,Payment,Rating
2023-01-01,INV001932INV001016INV000498INV001356INV001246INV000688,BBBCAB,MandalayNaypyitawMandalayMandalayNaypyitawYangon,NormalNormalMemberNormalNormalNormal,FemaleFemaleMaleFemaleMaleMale,Food & BeveragesHome & LifestyleElectronic AccessoriesSports & TravelSports & TravelHealth & Beauty,274.33000000000004,30,38.0,1145.28,14:4614:0716:4819:238:5514:05,CashEwalletEwalletEwalletEwalletCash,49.0
2023-01-02,INV000660INV000453INV000510INV001933INV001115INV000685,CAACAB,MandalayYangonNaypyitawMandalayNaypyitawYangon,NormalMemberMemberNormalMemberNormal,MaleFemaleFemaleMaleFemaleFemale,Electronic AccessoriesSports & TravelFood & BeveragesElectronic AccessoriesFood & BeveragesElectronic Accessories,350.03,38,33.769999999999996,1631.56,9:3511:3519:1413:1812:3818:13,Credit cardCashCashCashEwalletEwallet,46.1
2023-01-03,INV000949INV001314INV000440,BCB,MandalayYangonMandalay,NormalMemberNormal,MaleFemaleMale,Electronic AccessoriesHealth & BeautyFood & Beverages,138.24,14,14.32,775.06,8:2112:0414:56,CashCashCash,17.2
2023-01-04,INV000757INV000364INV001739INV000492INV001566INV002000,CABBAB,NaypyitawYangonYangonYangonYangonNaypyitaw,NormalMemberNormalNormalMemberNormal,MaleMaleMaleMaleFemaleFemale,Fashion AccessoriesHome & LifestyleFood & BeveragesFood & BeveragesFashion AccessoriesHealth & Beauty,334.91,28,45.4,1285.96,16:4117:5715:0719:369:2619:10,CashCashCashCredit cardCredit cardEwallet,38.1
2023-01-05,INV001052INV000081INV000577,CCA,YangonYangonNaypyitaw,MemberMemberMember,MaleMaleFemale,Electronic AccessoriesFashion AccessoriesFashion Accessories,158.26,19,11.68,176.61,12:4712:0812:41,Credit cardCredit cardEwallet,19.3
2023-01-06,INV000259INV000587INV000877INV000950INV000872INV001778INV001065INV001829,BABBCCCA,YangonMandalayYangonMandalayNaypyitawMandalayYangonNaypyitaw,NormalNormalNormalMemberMemberMemberMemberMember,MaleFemaleFemaleMaleFemaleFemaleFemaleFemale,Sports & TravelFood & BeveragesHealth & BeautyFashion AccessoriesHealth & BeautyFood & BeveragesSports & TravelSports & Travel,407.61,47,48.61,1849.49,8:4117:3616:3211:0912:3818:5813:0612:09,CashCredit cardCashEwalletCredit cardCashEwalletCredit card,60.3
2023-01-07,INV001264INV000892INV000983INV001901INV001846,BACBC,YangonMandalayMandalayMandalayYangon,NormalMemberNormalMemberMember,MaleFemaleFemaleFemaleFemale,Food & BeveragesSports & TravelFashion AccessoriesFashion AccessoriesFood & Beverages,204.64999999999998,21,26.549999999999997,1834.4,14:169:499:0518:1316:09,EwalletCredit cardCredit cardEwalletCredit card,35.4
2023-01-08,INV000302,A,Mandalay,Member,Male,Health & Beauty,56.14,5,1.12,327.64,11:55,Ewallet,9.8
2023-01-09,INV000743INV001305INV001735INV001049,BCBB,NaypyitawNaypyitawMandalayMandalay,MemberNormalMemberMember,MaleFemaleMaleMale,Health & BeautySports & TravelHome & LifestyleHealth & Beauty,198.82,28,27.24,1058.8899999999999,12:298:4715:1916:01,CashEwalletEwalletCash,25.9
2023-01-10,INV000256INV001362INV001380INV001405,BCBA,MandalayMandalayMandalayMandalay,NormalMemberMemberNormal,MaleMaleMaleFemale,Electronic AccessoriesFood & BeveragesFashion AccessoriesFashion Accessories,221.41000000000003,11,27.35,929.0699999999999,15:419:2613:0015:07,CashCashCashEwallet,28.7
2023-01-11,INV000803INV000603INV000812INV001234INV000192INV001403INV001467INV001334,ACAABCAC,YangonYangonYangonYangonYangonNaypyitawNaypyitawYangon,MemberNormalMemberMemberMemberMemberMemberNormal,MaleMaleFemaleMaleFemaleMaleFemaleFemale,Electronic AccessoriesFashion AccessoriesFood & BeveragesFashion AccessoriesSports & TravelHome & LifestyleFashion AccessoriesHealth & Beauty,410.67,37,39.99,1558.96,17:2416:1210:5617:3617:0610:389:228:39,CashEwalletEwalletCredit cardCashEwalletCashCredit card,54.7
2023-01-12,INV001166INV001517INV001348INV000413INV001951,BAAAC,YangonMandalayYangonMandalayMandalay,NormalNormalMemberNormalNormal,FemaleFemaleFemaleFemaleFemale,Sports & TravelHealth & BeautyHome & LifestyleFashion AccessoriesFood & Beverages,219.32999999999998,28,38.14,1983.04,11:2119:1915:2018:0218:55,Credit cardCashEwalletEwalletCash,33.6
2023-01-13,INV001738INV001066INV001675INV001841,CBAC,NaypyitawMandalayNaypyitawNaypyitaw,NormalNormalNormalMember,FemaleMaleMaleFemale,Electronic AccessoriesFashion AccessoriesFood & BeveragesSports & Travel,154.86,26,28.770000000000003,714.16,10:309:0519:5414:26,CashEwalletEwalletEwallet,31.0
2023-01-14,INV000772INV001262INV000768,CAC,NaypyitawMandalayNaypyitaw,MemberNormalNormal,FemaleMaleFemale,Fashion AccessoriesHealth & BeautyFashion Accessories,133.84,14,12.33,869.5799999999999,8:1910:4116:23,Credit cardCashCredit card,23.9
2023-01-15,INV000802INV000695INV001503INV000734INV000738INV000569,BBCABC,MandalayMandalayMandalayYangonMandalayYangon,MemberMemberMemberNormalNormalNormal,FemaleMaleFemaleMaleMaleMale,Food & BeveragesHome & LifestyleFood & BeveragesSports & TravelHome & LifestyleFood & Beverages,313.42,23,35.019999999999996,1750.92,8:018:1818:0518:3217:2316:23,Credit cardCashEwalletCashEwalletEwallet,41.8
2023-01-16,INV001904INV001516INV000849INV001216INV000103INV000273INV000194,BAAACAB,YangonNaypyitawYangonMandalayNaypyitawNaypyitawYangon,NormalMemberMemberNormalNormalNormalNormal,FemaleFemaleMaleMaleMaleMaleFemale,Sports & TravelHealth & BeautyHome & LifestyleFashion AccessoriesElectronic AccessoriesElectronic AccessoriesHealth & Beauty,418.89,28,44.83,2491.8,17:189:4917:2716:5012:5011:018:51,EwalletEwalletCredit cardCredit cardEwalletCredit cardCash,48.6
2023-01-17,INV000280INV000426INV001135INV000212INV000880,CCAAA,MandalayNaypyitawNaypyitawNaypyitawNaypyitaw,MemberMemberMemberNormalMember,MaleMaleFemaleFemaleFemale,Health & BeautyFood & BeveragesHealth & BeautyHome & LifestyleFashion Accessories,302.38,23,28.05,1624.37,18:1514:0919:3212:4511:06,EwalletCashCredit cardCashCredit card,32.5
2023-01-18,INV000075INV000739INV000185,CAA,YangonNaypyitawMandalay,NormalMemberNormal,FemaleFemaleMale,Home & LifestyleSports & TravelHome & Lifestyle,150.20999999999998,16,16.73,511.20000000000005,16:0710:0013:24,EwalletEwalletEwallet,18.4
2023-01-19,INV001616INV000902INV001231INV000686INV001372INV000674INV000809INV000330,CBBBAAAC,NaypyitawMandalayMandalayMandalayYangonMandalayYangonMandalay,MemberMemberMemberMemberNormalNormalMemberNormal,MaleFemaleFemaleMaleMaleFemaleFemaleFemale,Electronic AccessoriesHome & LifestyleSports & TravelHome & LifestyleSports & TravelElectronic AccessoriesFashion AccessoriesFood & Beverages,588.54,41,41.870000000000005,2753.46,10:4017:1813:538:4610:279:4814:0514:08,Credit cardCredit cardCredit cardCredit cardCredit cardEwalletCredit cardCash,57.9
2023-01-20,INV001324INV000093INV001383INV001531INV001519,CAAAB,YangonYangonYangonYangonYangon,NormalMemberNormalNormalNormal,FemaleMaleMaleFemaleMale,Home & LifestyleElectronic AccessoriesHealth & BeautyFashion AccessoriesHealth & Beauty,252.32999999999998,18,24.32,1314.31,14:3514:1419:408:2015:22,Credit cardCashEwalletCredit cardCash,37.8
2023-01-21,INV001073INV001701INV000084INV001481,CBBA,YangonYangonNaypyitawMandalay,NormalNormalMemberMember,FemaleMaleFemaleFemale,Home & LifestyleSports & TravelHome & LifestyleHome & Lifestyle,304.94,29,27.86,750.61,11:1211:2815:4715:57,EwalletCredit cardEwalletCredit card,24.5
2023-01-22,INV001521INV000359INV000454INV000912INV001125INV000597,AABBAC,YangonNaypyitawNaypyitawYangonMandalayNaypyitaw,NormalNormalMemberMemberNormalMember,MaleFemaleFemaleMaleFemaleMale,Home & LifestyleHome & LifestyleElectronic AccessoriesFood & BeveragesHome & LifestyleHealth & Beauty,291.47,43,24.57,1286.28,18:0115:389:2817:5313:0610:43,Credit cardEwalletCredit cardEwalletCredit cardCash,39.699999999999996
2023-01-23,INV000831INV000247INV001293INV000100INV001592,CCCBB,NaypyitawYangonMandalayYangonNaypyitaw,NormalNormalMemberNormalNormal,FemaleFemaleMaleMaleFemale,Health & BeautyElectronic AccessoriesElectronic AccessoriesHealth & BeautyHealth & Beauty,333.59000000000003,30,27.509999999999998,1357.89,10:3718:2818:2913:219:20,EwalletCredit cardEwalletEwalletCash,32.4
2023-01-24,INV000253INV001167INV001472INV000325INV001251INV000717,ABCCAB,YangonYangonNaypyitawYangonNaypyitawMandalay,MemberMemberMemberNormalMemberMember,FemaleMaleFemaleMaleMaleMale,Food & BeveragesHome & LifestyleFashion AccessoriesHome & LifestyleSports & TravelSports & Travel,352.55,24,33.48,1733.46,17:1416:409:0316:2314:2514:40,EwalletCredit cardEwalletEwalletCredit cardEwallet,44.6
2023-01-25,INV000527INV001637INV001177INV000604,BBAA,MandalayMandalayYangonNaypyitaw,NormalNormalNormalNormal,FemaleFemaleFemaleMale,Food & BeveragesHealth & BeautyFashion AccessoriesFashion Accessories,198.46,12,18.72,1235.13,19:4112:3818:4415:32,EwalletEwalletEwalletEwallet,30.1
2023-01-26,INV001253INV000047INV000324INV001179INV000110INV001444,BBBBBB,NaypyitawMandalayNaypyitawNaypyitawYangonNaypyitaw,MemberNormalMemberMemberMemberMember,FemaleFemaleFemaleMaleMaleFemale,Home & LifestyleHealth & BeautyElectronic AccessoriesElectronic AccessoriesHome & LifestyleSports & Travel,321.45,31,32.04,657.1,8:449:1611:0113:078:0512:38,Credit cardEwalletCashEwalletEwalletCredit card,39.7
2023-01-27,INV000683INV000378INV000304INV001276INV001364INV000798INV000340,BBACBBC,NaypyitawMandalayYangonNaypyitawNaypyitawNaypyitawNaypyitaw,NormalMemberNormalMemberMemberMemberMember,MaleMaleMaleMaleFemaleMaleFemale,Sports & TravelHome & LifestyleElectronic AccessoriesHealth & BeautyHealth & BeautyFashion AccessoriesFood & Beverages,452.36,30,45.28,1940.57,12:529:3417:178:5412:5119:5217:55,EwalletEwalletCredit cardEwalletCredit cardCashCredit card,47.4
2023-01-28,INV000724INV001507INV001474INV001559INV000848INV000450INV000231INV001689,CACBACAC,NaypyitawNaypyitawNaypyitawNaypyitawNaypyitawMandalayYangonYangon,MemberMemberNormalNormalNormalNormalMemberMember,MaleFemaleFemaleFemaleFemaleFemaleMaleMale,Electronic AccessoriesFood & BeveragesFashion AccessoriesHealth & BeautyElectronic AccessoriesHealth & BeautyFood & BeveragesHome & Lifestyle,471.64,46,50.61,2778.59,17:519:2212:2210:3611:2214:4611:5810:10,CashCashCashEwalletCashCredit cardEwalletEwallet,65.3
2023-01-29,INV001476INV000948INV000348INV000180INV001843,CBAAB,NaypyitawYangonMandalayMandalayNaypyitaw,NormalMemberMemberMemberMember,MaleFemaleFemaleMaleFemale,Food & BeveragesFood & BeveragesElectronic AccessoriesHealth & BeautyElectronic Accessories,346.14,23,31.11,902.03,8:138:4913:1319:1218:35,CashCashEwalletCashEwallet,37.2
2023-01-30,INV001347INV001515INV001411INV001110INV001193,BCBBB,YangonMandalayYangonMandalayMandalay,NormalMemberNormalMemberNormal,FemaleFemaleFemaleFemaleFemale,Sports & TravelFood & BeveragesElectronic AccessoriesSports & TravelElectronic Accessories,292.5,38,40.04,1195.91,12:1813:3410:2215:3813:16,Credit cardEwalletEwalletCredit cardCash,38.9
2023-01-31,INV001022INV000094INV001321,CAB,YangonMandalayYangon,MemberNormalNormal,MaleFemaleMale,Food & BeveragesHome & LifestyleElectronic Accessories,152.24,18,15.879999999999999,854.2,16:3016:1310:36,EwalletEwalletCash,16.8
2023-02-01,INV000373INV000338INV001168INV001394INV001669,BBABC,NaypyitawNaypyitawMandalayNaypyitawMandalay,MemberMemberMemberNormalMember,MaleMaleFemaleFemaleMale,Health & BeautySports & TravelFood & BeveragesHealth & BeautyElectronic Accessories,356.67,25,24.52,1363.41,9:2412:3319:2512:1014:42,EwalletCashEwalletCashEwallet,32.8
